#Interaction type,Interactor A ID,Interactor A name,Interactor A taxid,Interactor B ID,Interactor B name,Interactor B taxid,Host organism taxid,Binding affinity type,Binding affinity value in molar,Binding affinity variation in molar,Interaction detection method,Source,EBI Interaction ID
association,uniprotkb:P68400,CSNK2A1,Homo sapiens (taxid:9606),uniprotkb:P14625,HSP90B1,Homo sapiens (taxid:9606),-,kd,0.0004,-,experimental interaction detection (MI:0045),pubmed:11557039,intact:EBI-7971392
direct interaction,intact:EBI-7135882,pdz2-1,-,uniprotkb:P78352,DLG4,Homo sapiens (taxid:9606),Escherichia coli (strain K12) (taxid:83333),kd,0.0000001,-,fluorescent resonance energy transfer (MI:0055),pubmed:17130455,intact:EBI-7135875
direct interaction,intact:EBI-7135964,nr2,-,uniprotkb:P78352,DLG4,Homo sapiens (taxid:9606),Escherichia coli (strain K12) (taxid:83333),kd,0.00000034,-,fluorescent resonance energy transfer (MI:0055),pubmed:17130455,intact:EBI-7135969
direct interaction,intact:EBI-7135314,p2,-,uniprotkb:O89100,Grap2,Mus musculus (taxid:10090),-,kd,0.0000001,-,fluorescent resonance energy transfer (MI:0055),pubmed:17130455,intact:EBI-7136100
direct interaction,uniprotkb:P00711,LALBA,Bos taurus (Bovine) (taxid:9913),uniprotkb:Q765B0,fklB,shewanella sp. sib1 (taxid:117911),-,kd,0.0000065,-,surface plasmon resonance (MI:0107),pubmed:19558490,intact:EBI-7080526
direct interaction,uniprotkb:Q7L0Q8,RHOU,Homo sapiens (taxid:9606),uniprotkb:O43639,NCK2,Homo sapiens (taxid:9606),-,kd,0.0000098,-,isothermal titration calorimetry (MI:0065),pubmed:16752908,intact:EBI-8538705
direct interaction,uniprotkb:Q96L33,RHOV,Homo sapiens (taxid:9606),uniprotkb:O43639,NCK2,Homo sapiens (taxid:9606),-,kd,0.000005,-,isothermal titration calorimetry (MI:0065),pubmed:16752908,intact:EBI-8538748
direct interaction,uniprotkb:Q9NQC3,RTN4,Homo sapiens (taxid:9606),uniprotkb:O43639,NCK2,Homo sapiens (taxid:9606),-,kd,0.0000057,-,isothermal titration calorimetry (MI:0065),pubmed:16752908,intact:EBI-8538770
direct interaction,intact:EBI-8071963,EBI-8071963,-,uniprotkb:Q07912,TNK2,Homo sapiens (taxid:9606),-,km,0.000789,-,protein kinase assay (MI:0424),pubmed:16472662,intact:EBI-8071957
direct interaction,intact:EBI-8072030,EBI-8072030,-,uniprotkb:Q07912,TNK2,Homo sapiens (taxid:9606),-,km,0.000507,-,protein kinase assay (MI:0424),pubmed:16472662,intact:EBI-8072035
direct interaction,uniprotkb:Q96GM8,TOE1,Homo sapiens (taxid:9606),uniprotkb:P04637,TP53,Homo sapiens (taxid:9606),-,kd,0.000000072,-,biophysical (MI:0013),pubmed:19508870,intact:EBI-7042526
direct interaction,uniprotkb:Q8WV28,BLNK,Homo sapiens (taxid:9606),uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),-,kd,0.00002,-,isothermal titration calorimetry (MI:0065),pubmed:16912232,intact:EBI-8609596
direct interaction,uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),uniprotkb:Q8WV28,BLNK,Homo sapiens (taxid:9606),-,kd,0.000006,-,isothermal titration calorimetry (MI:0065),pubmed:16912232,intact:EBI-8609614
direct interaction,uniprotkb:Q13177,PAK2,Homo sapiens (taxid:9606),uniprotkb:O55043,Arhgef7,Rattus norvegicus (Rat) (taxid:10116),-,kd,0.00000105,-,isothermal titration calorimetry (MI:0065),pubmed:16527308,intact:EBI-8169547
direct interaction,uniprotkb:Q13177,PAK2,Homo sapiens (taxid:9606),uniprotkb:O55043,Arhgef7,Rattus norvegicus (Rat) (taxid:10116),-,kd,0.00000926,-,isothermal titration calorimetry (MI:0065),pubmed:16527308,intact:EBI-8169616
direct interaction,uniprotkb:O55043,Arhgef7,Rattus norvegicus (Rat) (taxid:10116),uniprotkb:Q13177,PAK2,Homo sapiens (taxid:9606),-,kd,0.0000026,-,isothermal titration calorimetry (MI:0065),pubmed:16527308,intact:EBI-8169595
direct interaction,uniprotkb:P62161,Calm1,Rattus norvegicus (Rat) (taxid:10116),uniprotkb:P52888,THOP1,Homo sapiens (taxid:9606),-,kd,0.00000052,-,surface plasmon resonance (MI:0107),pubmed:19614740,intact:EBI-7112157
direct interaction,uniprotkb:Q86WV1,SKAP1,Homo sapiens (taxid:9606),uniprotkb:O15117,FYB,Homo sapiens (taxid:9606),-,kd,0.000033,-,surface plasmon resonance (MI:0107),pubmed:16461356,intact:EBI-8067614
direct interaction,uniprotkb:O15117,FYB,Homo sapiens (taxid:9606),uniprotkb:Q86WV1,SKAP1,Homo sapiens (taxid:9606),-,kd,0.0000401,-,surface plasmon resonance (MI:0107),pubmed:16461356,intact:EBI-8067662
direct interaction,uniprotkb:P02786,TFRC,Homo sapiens (taxid:9606),uniprotkb:Q9P0V3,SH3BP4,Homo sapiens (taxid:9606),-,kd,0.0000143,-,surface plasmon resonance (MI:0107),pubmed:16325581,intact:EBI-7913250
direct interaction,uniprotkb:Q9P0V3,SH3BP4,Homo sapiens (taxid:9606),uniprotkb:P39052,Dnm2,Rattus norvegicus (Rat) (taxid:10116),-,kd,0.00000103,-,surface plasmon resonance (MI:0107),pubmed:16325581,intact:EBI-7913290
direct interaction,uniprotkb:P10636-2,MAPT,Homo sapiens (taxid:9606),uniprotkb:P12931,SRC,Homo sapiens (taxid:9606),-,kd,0.00000017,-,surface plasmon resonance (MI:0107),pubmed:16115884,intact:EBI-7796404
direct interaction,uniprotkb:P10636-6,MAPT,Homo sapiens (taxid:9606),uniprotkb:P12931,SRC,Homo sapiens (taxid:9606),-,kd,0.00000026,-,surface plasmon resonance (MI:0107),pubmed:16115884,intact:EBI-7796467
direct interaction,uniprotkb:P10636-6,MAPT,Homo sapiens (taxid:9606),uniprotkb:P06241,FYN,Homo sapiens (taxid:9606),-,kd,0.00000677,-,surface plasmon resonance (MI:0107),pubmed:16115884,intact:EBI-7796488
direct interaction,uniprotkb:P10636-2,MAPT,Homo sapiens (taxid:9606),uniprotkb:P06241,FYN,Homo sapiens (taxid:9606),-,kd,0.00000032,-,surface plasmon resonance (MI:0107),pubmed:16115884,intact:EBI-7796527
direct interaction,uniprotkb:Q14155,ARHGEF7,Homo sapiens (taxid:9606),uniprotkb:Q13153,PAK1,Homo sapiens (taxid:9606),-,kd,0.0000075,-,classical fluorescence spectroscopy (MI:0017),pubmed:16101281,intact:EBI-7787769
direct interaction,uniprotkb:Q62165,Dag1,Mus musculus (taxid:10090),uniprotkb:Q62165,Dag1,Mus musculus (taxid:10090),-,kd,0.0000033,-,solid phase assay (MI:0892),pubmed:19694806,intact:EBI-7178310
direct interaction,uniprotkb:P19137,Lama1,Mus musculus (taxid:10090),uniprotkb:Q62165,Dag1,Mus musculus (taxid:10090),-,kd,0.0000033,-,pull down (MI:0096),pubmed:19694806,intact:EBI-7178346
physical association,uniprotkb:P00519,ABL1,Homo sapiens (taxid:9606),intact:EBI-7319639,p41r,-,-,kd,0.00002,-,fluorescence technology (MI:0051),pubmed:17352427,intact:EBI-7319848
physical association,uniprotkb:P00519,ABL1,Homo sapiens (taxid:9606),uniprotkb:Q9Y3L3,SH3BP1,Homo sapiens (taxid:9606),-,kd,0.000043,-,fluorescence technology (MI:0051),pubmed:17352427,intact:EBI-7319868
direct interaction,uniprotkb:Q08509,Eps8,Mus musculus (taxid:10090),uniprotkb:O43813,LANCL1,Homo sapiens (taxid:9606),-,kd,0.0000006,-,surface plasmon resonance (MI:0107),pubmed:19528316,intact:EBI-7061204
direct interaction,uniprotkb:Q9NS86,LANCL2,Homo sapiens (taxid:9606),uniprotkb:Q08509,Eps8,Mus musculus (taxid:10090),-,kd,0.00000045,-,surface plasmon resonance (MI:0107),pubmed:19528316,intact:EBI-7061256
direct interaction,uniprotkb:O43813,LANCL1,Homo sapiens (taxid:9606),uniprotkb:Q08509,Eps8,Mus musculus (taxid:10090),-,kd,0.0000006,-,surface plasmon resonance (MI:0107),pubmed:19528316,intact:EBI-7061236
direct interaction,uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),uniprotkb:Q07889,SOS1,Homo sapiens (taxid:9606),-,kd,0.000039,-,isothermal titration calorimetry (MI:0065),pubmed:19323566,intact:EBI-6943299
direct interaction,uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),uniprotkb:Q07889,SOS1,Homo sapiens (taxid:9606),-,kd,0.000117,-,isothermal titration calorimetry (MI:0065),pubmed:19323566,intact:EBI-6943381
direct interaction,uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),uniprotkb:Q07889,SOS1,Homo sapiens (taxid:9606),-,kd,0.000056,-,isothermal titration calorimetry (MI:0065),pubmed:19323566,intact:EBI-6943344
direct interaction,uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),uniprotkb:Q07889,SOS1,Homo sapiens (taxid:9606),-,kd,0.000082,-,isothermal titration calorimetry (MI:0065),pubmed:19323566,intact:EBI-6943402
direct interaction,uniprotkb:Q07889,SOS1,Homo sapiens (taxid:9606),uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),-,kd,0.000125,-,isothermal titration calorimetry (MI:0065),pubmed:19323566,intact:EBI-6943438
direct interaction,uniprotkb:Q96B97,SH3KBP1,Homo sapiens (taxid:9606),uniprotkb:P22681,CBL,Homo sapiens (taxid:9606),-,kd,0.00000493,-,isothermal titration calorimetry (MI:0065),pubmed:19268472,intact:EBI-8584176
direct interaction,uniprotkb:Q96B97,SH3KBP1,Homo sapiens (taxid:9606),uniprotkb:P22681,CBL,Homo sapiens (taxid:9606),-,kd,0.000031,-,isothermal titration calorimetry (MI:0065),pubmed:19268472,intact:EBI-8584235
direct interaction,uniprotkb:Q13191,CBLB,Homo sapiens (taxid:9606),uniprotkb:Q96B97,SH3KBP1,Homo sapiens (taxid:9606),-,kd,0.00001265,-,isothermal titration calorimetry (MI:0065),pubmed:19268472,intact:EBI-8584335
direct interaction,uniprotkb:P22681,CBL,Homo sapiens (taxid:9606),uniprotkb:Q96B97,SH3KBP1,Homo sapiens (taxid:9606),-,kd,0.00002709,-,isothermal titration calorimetry (MI:0065),pubmed:19268472,intact:EBI-8584275
direct interaction,uniprotkb:Q96B97,SH3KBP1,Homo sapiens (taxid:9606),uniprotkb:Q13191,CBLB,Homo sapiens (taxid:9606),-,kd,0.00000987,-,isothermal titration calorimetry (MI:0065),pubmed:19268472,intact:EBI-8584460
direct interaction,uniprotkb:Q96B97,SH3KBP1,Homo sapiens (taxid:9606),uniprotkb:Q13191,CBLB,Homo sapiens (taxid:9606),-,kd,0.00000706,-,isothermal titration calorimetry (MI:0065),pubmed:19268472,intact:EBI-8584439
direct interaction,uniprotkb:P00519,ABL1,Homo sapiens (taxid:9606),uniprotkb:Q71SY5,MED25,Homo sapiens (taxid:9606),-,kd,0.00000237,-,classical fluorescence spectroscopy (MI:0017),pubmed:19290556,intact:EBI-8595983
direct interaction,uniprotkb:Q71SY5,MED25,Homo sapiens (taxid:9606),uniprotkb:P06239,LCK,Homo sapiens (taxid:9606),-,kd,0.00003347,-,classical fluorescence spectroscopy (MI:0017),pubmed:19290556,intact:EBI-8596004
direct interaction,uniprotkb:Q8TE68,EPS8L1,Homo sapiens (taxid:9606),uniprotkb:P07766,CD3E,Homo sapiens (taxid:9606),-,kd,0.000024,-,isothermal titration calorimetry (MI:0065),pubmed:18644376,intact:EBI-8027862
direct interaction,uniprotkb:Q96B97,SH3KBP1,Homo sapiens (taxid:9606),uniprotkb:P0CG48,UBC,Homo sapiens (taxid:9606),-,kd,0.00115,-,nuclear magnetic resonance (MI:0077),pubmed:18680311,intact:EBI-8044099
direct interaction,uniprotkb:Q96B97,SH3KBP1,Homo sapiens (taxid:9606),uniprotkb:P0CG48,UBC,Homo sapiens (taxid:9606),-,kd,0.000171,-,nuclear magnetic resonance (MI:0077),pubmed:18680311,intact:EBI-8044078
direct interaction,uniprotkb:P0CG48,UBC,Homo sapiens (taxid:9606),uniprotkb:Q96B97,SH3KBP1,Homo sapiens (taxid:9606),-,kd,0.0005,-,nuclear magnetic resonance (MI:0077),pubmed:18680311,intact:EBI-8044116
direct interaction,uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),uniprotkb:Q9UQC2,GAB2,Homo sapiens (taxid:9606),-,kd,0.0000087,-,isothermal titration calorimetry (MI:0065),pubmed:19523899,intact:EBI-7050678
direct interaction,uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),uniprotkb:Q9UQC2,GAB2,Homo sapiens (taxid:9606),-,kd,0.0000037,-,isothermal titration calorimetry (MI:0065),pubmed:19523899,intact:EBI-7050757
direct interaction,uniprotkb:Q9UQC2,GAB2,Homo sapiens (taxid:9606),uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),-,kd,0.0000087,-,isothermal titration calorimetry (MI:0065),pubmed:19523899,intact:EBI-7050710
direct interaction,uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),uniprotkb:P46527,CDKN1B,Homo sapiens (taxid:9606),-,kd,0.0000254,-,isothermal titration calorimetry (MI:0065),pubmed:19523899,intact:EBI-7050797
direct interaction,uniprotkb:Q9UQC2,GAB2,Homo sapiens (taxid:9606),uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),-,kd,0.0000323,-,isothermal titration calorimetry (MI:0065),pubmed:19523899,intact:EBI-7050842
direct interaction,uniprotkb:Q9UQC2,GAB2,Homo sapiens (taxid:9606),uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),-,kd,0.0000938,-,isothermal titration calorimetry (MI:0065),pubmed:19523899,intact:EBI-7050821
direct interaction,uniprotkb:O75791,GRAP2,Homo sapiens (taxid:9606),uniprotkb:Q9H3S7,PTPN23,Homo sapiens (taxid:9606),-,kd,0.00000076,-,isothermal titration calorimetry (MI:0065),pubmed:19523899,intact:EBI-7050884
direct interaction,uniprotkb:Q9H3S7,PTPN23,Homo sapiens (taxid:9606),uniprotkb:O89100,Grap2,Mus musculus (taxid:10090),-,kd,0.0000007,-,isothermal titration calorimetry (MI:0065),pubmed:19523899,intact:EBI-7050863
direct interaction,intact:EBI-8583790,vslarrplpplp,-,uniprotkb:Q05876,FYN,Gallus gallus (Chicken) (taxid:9031),-,kd,0.000000037,-,isothermal titration calorimetry (MI:0065),pubmed:19267471,intact:EBI-8583821
direct interaction,uniprotkb:Q5TCZ1-2,q5tcz1-2,Homo sapiens (taxid:9606),uniprotkb:Q07889,SOS1,Homo sapiens (taxid:9606),-,kd,0.000039,-,isothermal titration calorimetry (MI:0065),pubmed:19464300,intact:EBI-7015197
direct interaction,uniprotkb:P21575,Dnm1,Rattus norvegicus (Rat) (taxid:10116),uniprotkb:Q5TCZ1,SH3PXD2A,Homo sapiens (taxid:9606),-,kd,0.000029,-,isothermal titration calorimetry (MI:0065),pubmed:19464300,intact:EBI-7015239
direct interaction,uniprotkb:Q5TCZ1-2,q5tcz1-2,Homo sapiens (taxid:9606),uniprotkb:P21575,Dnm1,Rattus norvegicus (Rat) (taxid:10116),-,kd,0.000029,-,isothermal titration calorimetry (MI:0065),pubmed:19464300,intact:EBI-7015218
direct interaction,uniprotkb:P50542,PEX5,Homo sapiens (taxid:9606),uniprotkb:O75381,PEX14,Homo sapiens (taxid:9606),-,kd,0.00000047,-,isothermal titration calorimetry (MI:0065),pubmed:19197237,intact:EBI-8562660
direct interaction,uniprotkb:P50542,PEX5,Homo sapiens (taxid:9606),uniprotkb:O75381,PEX14,Homo sapiens (taxid:9606),-,kd,0.00000012,-,isothermal titration calorimetry (MI:0065),pubmed:19197237,intact:EBI-8562707
direct interaction,uniprotkb:P50542,PEX5,Homo sapiens (taxid:9606),uniprotkb:O75381,PEX14,Homo sapiens (taxid:9606),-,kd,0.00000007,-,isothermal titration calorimetry (MI:0065),pubmed:19197237,intact:EBI-8562726
direct interaction,uniprotkb:Q15149,PLEC,Homo sapiens (taxid:9606),uniprotkb:P16144,ITGB4,Homo sapiens (taxid:9606),-,kd,0.000049,-,fluorescence technology (MI:0051),pubmed:19242489,intact:EBI-8577339
direct interaction,uniprotkb:P16144,ITGB4,Homo sapiens (taxid:9606),uniprotkb:Q15149,PLEC,Homo sapiens (taxid:9606),-,kd,0.000108,-,fluorescence technology (MI:0051),pubmed:19242489,intact:EBI-8577358
direct interaction,uniprotkb:P16144,ITGB4,Homo sapiens (taxid:9606),uniprotkb:Q15149,PLEC,Homo sapiens (taxid:9606),-,kd,0.000288,-,fluorescence technology (MI:0051),pubmed:19242489,intact:EBI-8577377
direct interaction,uniprotkb:P16144,ITGB4,Homo sapiens (taxid:9606),uniprotkb:Q15149,PLEC,Homo sapiens (taxid:9606),-,kd,0.000031,-,fluorescence technology (MI:0051),pubmed:19242489,intact:EBI-8577442
direct interaction,uniprotkb:Q15149,PLEC,Homo sapiens (taxid:9606),uniprotkb:P16144,ITGB4,Homo sapiens (taxid:9606),-,kd,0.00019,-,fluorescence technology (MI:0051),pubmed:19242489,intact:EBI-8577423
direct interaction,uniprotkb:P16144,ITGB4,Homo sapiens (taxid:9606),uniprotkb:Q15149,PLEC,Homo sapiens (taxid:9606),-,kd,0.000031,-,fluorescence technology (MI:0051),pubmed:19242489,intact:EBI-8577465
direct interaction,uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),-,kd,0.000016,-,fluorescence technology (MI:0051),pubmed:18448430,intact:EBI-7908123
direct interaction,uniprotkb:Q04206,RELA,Homo sapiens (taxid:9606),uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),-,kd,0.00000027,-,fluorescence technology (MI:0051),pubmed:18448430,intact:EBI-7908172
direct interaction,uniprotkb:Q04206,RELA,Homo sapiens (taxid:9606),uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),-,kd,0.0000012,-,fluorescence technology (MI:0051),pubmed:18448430,intact:EBI-7908147
direct interaction,uniprotkb:P10415,BCL2,Homo sapiens (taxid:9606),uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),-,kd,0.0000016,-,surface plasmon resonance (MI:0107),pubmed:18719108,intact:EBI-8058270
direct interaction,uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),uniprotkb:P10415,BCL2,Homo sapiens (taxid:9606),-,kd,0.00001,-,surface plasmon resonance (MI:0107),pubmed:18719108,intact:EBI-8058334
direct interaction,uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),uniprotkb:P10415,BCL2,Homo sapiens (taxid:9606),-,kd,0.000013,-,surface plasmon resonance (MI:0107),pubmed:18719108,intact:EBI-8058375
direct interaction,uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),uniprotkb:Q07817-1,BCL2L1,Homo sapiens (taxid:9606),-,kd,0.000023,-,surface plasmon resonance (MI:0107),pubmed:18719108,intact:EBI-8058435
direct interaction,uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),uniprotkb:Q07817-1,BCL2L1,Homo sapiens (taxid:9606),-,kd,0.00002,-,surface plasmon resonance (MI:0107),pubmed:18719108,intact:EBI-8058504
direct interaction,uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),uniprotkb:Q07817-1,BCL2L1,Homo sapiens (taxid:9606),-,kd,0.000026,-,surface plasmon resonance (MI:0107),pubmed:18719108,intact:EBI-8058565
direct interaction,uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),uniprotkb:P10415,BCL2,Homo sapiens (taxid:9606),-,kd,0.00000021,-,peptide array (MI:0081),pubmed:18719108,intact:EBI-8058806
direct interaction,uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),uniprotkb:P10415,BCL2,Homo sapiens (taxid:9606),-,kd,0.000000096,-,classical fluorescence spectroscopy (MI:0017),pubmed:18719108,intact:EBI-8058909
direct interaction,uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),uniprotkb:P10415,BCL2,Homo sapiens (taxid:9606),-,kd,0.000000158,-,classical fluorescence spectroscopy (MI:0017),pubmed:18719108,intact:EBI-8058951
direct interaction,uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),uniprotkb:P10415,BCL2,Homo sapiens (taxid:9606),-,kd,0.000000476,-,classical fluorescence spectroscopy (MI:0017),pubmed:18719108,intact:EBI-8058930
direct interaction,uniprotkb:P10415,BCL2,Homo sapiens (taxid:9606),uniprotkb:Q13625,TP53BP2,Homo sapiens (taxid:9606),-,kd,0.000000142,-,classical fluorescence spectroscopy (MI:0017),pubmed:18719108,intact:EBI-8058972
direct interaction,uniprotkb:P12643-PRO_0000033825,BMP2,Homo sapiens (taxid:9606),uniprotkb:P36894,BMPR1A,Homo sapiens (taxid:9606),-,kd,0.0000000008,-,surface plasmon resonance (MI:0107),pubmed:19804412,intact:EBI-7277303
direct interaction,uniprotkb:P36894,BMPR1A,Homo sapiens (taxid:9606),uniprotkb:P12643-PRO_0000033824,BMP2,Homo sapiens (taxid:9606),-,kd,0.000000004,-,surface plasmon resonance (MI:0107),pubmed:19804412,intact:EBI-7277322
direct interaction,uniprotkb:P63104,YWHAZ,Homo sapiens (taxid:9606),uniprotkb:Q02156,PRKCE,Homo sapiens (taxid:9606),-,kd,0.000000059,-,isothermal titration calorimetry (MI:0065),pubmed:19662078,intact:EBI-7150840
direct interaction,uniprotkb:P43026,GDF5,Homo sapiens (taxid:9606),uniprotkb:O00238,BMPR1B,Homo sapiens (taxid:9606),-,kd,0.0000000013,-,surface plasmon resonance (MI:0107),pubmed:19229295,intact:EBI-8571529
direct interaction,uniprotkb:P43026,GDF5,Homo sapiens (taxid:9606),uniprotkb:O00238,BMPR1B,Homo sapiens (taxid:9606),-,kd,0.0000000007,-,surface plasmon resonance (MI:0107),pubmed:19229295,intact:EBI-8571546
direct interaction,uniprotkb:P43026,GDF5,Homo sapiens (taxid:9606),uniprotkb:O00238,BMPR1B,Homo sapiens (taxid:9606),-,kd,0.0000000423,-,surface plasmon resonance (MI:0107),pubmed:19229295,intact:EBI-8571563
direct interaction,uniprotkb:O00238,BMPR1B,Homo sapiens (taxid:9606),uniprotkb:P43026,GDF5,Homo sapiens (taxid:9606),-,kd,0.0000000082,-,surface plasmon resonance (MI:0107),pubmed:19229295,intact:EBI-8571588
direct interaction,uniprotkb:O00238,BMPR1B,Homo sapiens (taxid:9606),uniprotkb:P12643,BMP2,Homo sapiens (taxid:9606),-,kd,0.0000000048,-,surface plasmon resonance (MI:0107),pubmed:19229295,intact:EBI-8571731
direct interaction,uniprotkb:P43026,GDF5,Homo sapiens (taxid:9606),uniprotkb:O00238,BMPR1B,Homo sapiens (taxid:9606),-,kd,0.0000000041,-,surface plasmon resonance (MI:0107),pubmed:19229295,intact:EBI-8571663
direct interaction,uniprotkb:O00238,BMPR1B,Homo sapiens (taxid:9606),uniprotkb:P12643,BMP2,Homo sapiens (taxid:9606),-,kd,0.0000000072,-,surface plasmon resonance (MI:0107),pubmed:19229295,intact:EBI-8571822
direct interaction,uniprotkb:O00238,BMPR1B,Homo sapiens (taxid:9606),uniprotkb:P12643,BMP2,Homo sapiens (taxid:9606),-,kd,0.0000000217,-,surface plasmon resonance (MI:0107),pubmed:19229295,intact:EBI-8571783
direct interaction,uniprotkb:P43026,GDF5,Homo sapiens (taxid:9606),uniprotkb:Q13873,BMPR2,Homo sapiens (taxid:9606),-,kd,0.0000000319,-,surface plasmon resonance (MI:0107),pubmed:19229295,intact:EBI-8571872
direct interaction,uniprotkb:P43026,GDF5,Homo sapiens (taxid:9606),uniprotkb:Q13873,BMPR2,Homo sapiens (taxid:9606),-,kd,0.0000000559,-,surface plasmon resonance (MI:0107),pubmed:19229295,intact:EBI-8571940
direct interaction,uniprotkb:P43026,GDF5,Homo sapiens (taxid:9606),uniprotkb:Q13873,BMPR2,Homo sapiens (taxid:9606),-,kd,0.0000000658,-,surface plasmon resonance (MI:0107),pubmed:19229295,intact:EBI-8572028
direct interaction,uniprotkb:P43026,GDF5,Homo sapiens (taxid:9606),uniprotkb:Q13873,BMPR2,Homo sapiens (taxid:9606),-,kd,0.00000007244,-,surface plasmon resonance (MI:0107),pubmed:19229295,intact:EBI-8571998
direct interaction,uniprotkb:P43026,GDF5,Homo sapiens (taxid:9606),uniprotkb:P36894,BMPR1A,Homo sapiens (taxid:9606),-,kd,0.0000000042,-,surface plasmon resonance (MI:0107),pubmed:19229295,intact:EBI-8572102
direct interaction,uniprotkb:P43026,GDF5,Homo sapiens (taxid:9606),uniprotkb:P36894,BMPR1A,Homo sapiens (taxid:9606),-,kd,0.0000000162,-,surface plasmon resonance (MI:0107),pubmed:19229295,intact:EBI-8572069
direct interaction,uniprotkb:P27323,HSP90-1,Arabidopsis thaliana (Mouse-ear cress) (taxid:3702),uniprotkb:Q9LDC0,FKBP42,Arabidopsis thaliana (Mouse-ear cress) (taxid:3702),-,kd,0.0000013,-,isothermal titration calorimetry (MI:0065),pubmed:12410806,intact:EBI-2436932
direct interaction,uniprotkb:P19120,HSPA8,Bos taurus (Bovine) (taxid:9913),uniprotkb:P26361,Cftr,Mus musculus (taxid:10090),-,kd,0.0000000139,-,surface plasmon resonance (MI:0107),pubmed:19878303,intact:EBI-7556102
direct interaction,uniprotkb:P26361,Cftr,Mus musculus (taxid:10090),uniprotkb:P19120,HSPA8,Bos taurus (Bovine) (taxid:9913),-,kd,0.0000000026,-,surface plasmon resonance (MI:0107),pubmed:19878303,intact:EBI-7556039
direct interaction,uniprotkb:Q9VK33,Sfmbt,Drosophila melanogaster (Fruit fly) (taxid:7227),uniprotkb:P62805,HIST1H4A,Homo sapiens (taxid:9606),-,kd,0.0000015,-,isothermal titration calorimetry (MI:0065),pubmed:19494831,intact:EBI-7033446
direct interaction,uniprotkb:P84243,H3F3A,Homo sapiens (taxid:9606),uniprotkb:Q9VK33,Sfmbt,Drosophila melanogaster (Fruit fly) (taxid:7227),-,kd,0.0000067,-,isothermal titration calorimetry (MI:0065),pubmed:19494831,intact:EBI-7033480
direct interaction,uniprotkb:Q9VK33,Sfmbt,Drosophila melanogaster (Fruit fly) (taxid:7227),uniprotkb:P84243,H3F3A,Homo sapiens (taxid:9606),-,kd,0.000012,-,isothermal titration calorimetry (MI:0065),pubmed:19494831,intact:EBI-7033566
direct interaction,uniprotkb:P84243,H3F3A,Homo sapiens (taxid:9606),uniprotkb:Q9VK33,Sfmbt,Drosophila melanogaster (Fruit fly) (taxid:7227),-,kd,0.0000034,-,isothermal titration calorimetry (MI:0065),pubmed:19494831,intact:EBI-7033591
direct interaction,uniprotkb:P62805,HIST1H4A,Homo sapiens (taxid:9606),uniprotkb:Q9VK33,Sfmbt,Drosophila melanogaster (Fruit fly) (taxid:7227),-,kd,0.0000011,-,isothermal titration calorimetry (MI:0065),pubmed:19494831,intact:EBI-7033631
direct interaction,uniprotkb:P62805,HIST1H4A,Homo sapiens (taxid:9606),uniprotkb:Q9VK33,Sfmbt,Drosophila melanogaster (Fruit fly) (taxid:7227),-,kd,0.0000019,-,isothermal titration calorimetry (MI:0065),pubmed:19494831,intact:EBI-7033682
direct interaction,uniprotkb:P62805,HIST1H4A,Homo sapiens (taxid:9606),uniprotkb:Q9VK33,Sfmbt,Drosophila melanogaster (Fruit fly) (taxid:7227),-,kd,0.0000016,-,isothermal titration calorimetry (MI:0065),pubmed:19494831,intact:EBI-7033730
direct interaction,uniprotkb:P62805,HIST1H4A,Homo sapiens (taxid:9606),uniprotkb:Q9VK33,Sfmbt,Drosophila melanogaster (Fruit fly) (taxid:7227),-,kd,0.0000029,-,isothermal titration calorimetry (MI:0065),pubmed:19494831,intact:EBI-7033807
